,knockouts,carbon source,yield,slope
601,PGI|PDH,f6p,0.0,0.0
602,PGI|PDH,6pgc,0.0,0.0
603,PGI|PDH,r5p,0.0,0.0
604,PGI|PDH,succ,0.0,0.0
605,PGI|PDH,xu5p_D,0.0,0.0
606,PGI|PDH,2pg,0.0,0.0
607,PGI|PDH,ac,0.0,0.0
608,PGI|PDH,dhap,0.0,0.0
609,PGI|PDH,electrons,0.0,0.0
610,PGI|PFL,g6p,0.812,0.0
611,PGI|PFL,f6p,0.0,0.0
612,PGI|PFL,6pgc,0.0,0.0
613,PGI|PFL,r5p,0.0,0.0
614,PGI|PFL,succ,0.0,0.0
615,PGI|PFL,xu5p_D,0.0,0.0
616,PGI|PFL,2pg,0.0,0.0
617,PGI|PFL,ac,0.0,0.0
618,PGI|PFL,dhap,0.0,0.0
619,PGI|PFL,electrons,0.0,0.0
620,"PGI|G6PDH2r,PGL",g6p,0.0,0.0
621,"PGI|G6PDH2r,PGL",f6p,0.0,0.0
622,"PGI|G6PDH2r,PGL",6pgc,0.0,0.0
623,"PGI|G6PDH2r,PGL",r5p,0.0,0.0
624,"PGI|G6PDH2r,PGL",succ,0.0,0.0
625,"PGI|G6PDH2r,PGL",xu5p_D,0.0,0.0
626,"PGI|G6PDH2r,PGL",2pg,0.0,0.0
627,"PGI|G6PDH2r,PGL",ac,0.0,0.0
628,"PGI|G6PDH2r,PGL",dhap,0.0,0.0
629,"PGI|G6PDH2r,PGL",electrons,0.0,0.0
630,PGI|GND,g6p,0.782,0.0
631,PGI|GND,f6p,0.0,0.0
632,PGI|GND,6pgc,0.0,0.0
633,PGI|GND,r5p,0.0,0.0
634,PGI|GND,succ,0.0,0.0
635,PGI|GND,xu5p_D,0.0,0.0
636,PGI|GND,2pg,0.0,0.0
637,PGI|GND,ac,0.0,0.0
638,PGI|GND,dhap,0.0,0.0
639,PGI|GND,electrons,0.0,0.0
640,"PGI|EDD,EDA",g6p,0.812,0.0
641,"PGI|EDD,EDA",f6p,0.0,0.0
642,"PGI|EDD,EDA",6pgc,0.0,0.0
643,"PGI|EDD,EDA",r5p,0.0,0.0
644,"PGI|EDD,EDA",succ,0.0,0.0
645,"PGI|EDD,EDA",xu5p_D,0.0,0.0
646,"PGI|EDD,EDA",2pg,0.0,0.0
647,"PGI|EDD,EDA",ac,0.0,0.0
648,"PGI|EDD,EDA",dhap,0.0,0.0
649,"PGI|EDD,EDA",electrons,0.0,0.0
650,PGI|RPE,g6p,0.789,0.0
651,PGI|RPE,f6p,0.0,0.0
652,PGI|RPE,6pgc,0.0,0.0
653,PGI|RPE,r5p,0.0,0.0
654,PGI|RPE,succ,0.0,0.0
655,PGI|RPE,xu5p_D,0.0,0.0
656,PGI|RPE,2pg,0.0,0.0
657,PGI|RPE,ac,0.0,0.0
658,PGI|RPE,dhap,0.0,0.0
659,PGI|RPE,electrons,0.0,0.0
660,PGI|RPI,g6p,0.764,2.156
661,PGI|RPI,f6p,0.0,0.0
662,PGI|RPI,6pgc,0.0,0.0
663,PGI|RPI,r5p,0.0,0.0
664,PGI|RPI,succ,0.0,0.0
665,PGI|RPI,xu5p_D,0.0,0.0
666,PGI|RPI,2pg,0.0,0.0
667,PGI|RPI,ac,0.0,0.0
668,PGI|RPI,dhap,0.0,0.0
669,PGI|RPI,electrons,0.0,0.0
670,"PGI|TKT1,TKT2",g6p,0.0,0.0
671,"PGI|TKT1,TKT2",f6p,0.0,0.0
672,"PGI|TKT1,TKT2",6pgc,0.0,0.0
673,"PGI|TKT1,TKT2",r5p,0.0,0.0
674,"PGI|TKT1,TKT2",succ,0.0,0.0
675,"PGI|TKT1,TKT2",xu5p_D,0.0,0.0
676,"PGI|TKT1,TKT2",2pg,0.0,0.0
677,"PGI|TKT1,TKT2",ac,0.0,0.0
678,"PGI|TKT1,TKT2",dhap,0.0,0.0
679,"PGI|TKT1,TKT2",electrons,0.0,0.0
680,PGI|TALA,g6p,0.785,0.0
681,PGI|TALA,f6p,0.0,0.0
682,PGI|TALA,6pgc,0.0,0.0
683,PGI|TALA,r5p,0.0,0.0
684,PGI|TALA,succ,0.0,0.0
685,PGI|TALA,xu5p_D,0.0,0.0
686,PGI|TALA,2pg,0.0,0.0
687,PGI|TALA,ac,0.0,0.0
688,PGI|TALA,dhap,0.0,0.0
689,PGI|TALA,electrons,0.0,0.0
690,PGI|PPC,g6p,0.806,0.0
691,PGI|PPC,f6p,0.0,0.0
692,PGI|PPC,6pgc,0.0,0.0
693,PGI|PPC,r5p,0.0,0.0
694,PGI|PPC,succ,0.0,0.0
695,PGI|PPC,xu5p_D,0.0,0.0
696,PGI|PPC,2pg,0.0,0.0
697,PGI|PPC,ac,0.0,0.0
698,PGI|PPC,dhap,0.0,0.0
699,PGI|PPC,electrons,0.0,0.0
700,PGI|PPCK,g6p,0.812,0.0
701,PGI|PPCK,f6p,0.0,0.0
702,PGI|PPCK,6pgc,0.0,0.0
703,PGI|PPCK,r5p,0.0,0.0
704,PGI|PPCK,succ,0.0,0.0
705,PGI|PPCK,xu5p_D,0.0,0.0
706,PGI|PPCK,2pg,0.0,0.0
707,PGI|PPCK,ac,0.0,0.0
708,PGI|PPCK,dhap,0.0,0.0
709,PGI|PPCK,electrons,0.0,0.0
710,PGI|CS,g6p,0.0,0.0
711,PGI|CS,f6p,0.0,0.0
712,PGI|CS,6pgc,0.0,0.0
713,PGI|CS,r5p,0.0,0.0
714,PGI|CS,succ,0.0,0.0
715,PGI|CS,xu5p_D,0.0,0.0
716,PGI|CS,2pg,0.0,0.0
717,PGI|CS,ac,0.0,0.0
718,PGI|CS,dhap,0.0,0.0
719,PGI|CS,electrons,0.0,0.0
720,"PGI|ACONTa,ACONTb",g6p,0.0,0.0
721,"PGI|ACONTa,ACONTb",f6p,0.0,0.0
722,"PGI|ACONTa,ACONTb",6pgc,0.0,0.0
723,"PGI|ACONTa,ACONTb",r5p,0.0,0.0
724,"PGI|ACONTa,ACONTb",succ,0.0,0.0
725,"PGI|ACONTa,ACONTb",xu5p_D,0.0,0.0
726,"PGI|ACONTa,ACONTb",2pg,0.0,0.0
727,"PGI|ACONTa,ACONTb",ac,0.0,0.0
728,"PGI|ACONTa,ACONTb",dhap,0.0,0.0
729,"PGI|ACONTa,ACONTb",electrons,0.0,0.0
730,PGI|ALCD2x,g6p,0.812,0.0
731,PGI|ALCD2x,f6p,0.0,0.0
732,PGI|ALCD2x,6pgc,0.0,0.0
733,PGI|ALCD2x,r5p,0.0,0.0
734,PGI|ALCD2x,succ,0.0,0.0
735,PGI|ALCD2x,xu5p_D,0.0,0.0
736,PGI|ALCD2x,2pg,0.0,0.0
737,PGI|ALCD2x,ac,0.0,0.0
738,PGI|ALCD2x,dhap,0.0,0.0
739,PGI|ALCD2x,electrons,0.0,0.0
740,PGI|ACALD,g6p,0.812,0.0
741,PGI|ACALD,f6p,0.0,0.0
742,PGI|ACALD,6pgc,0.0,0.0
743,PGI|ACALD,r5p,0.0,0.0
744,PGI|ACALD,succ,0.0,0.0
745,PGI|ACALD,xu5p_D,0.0,0.0
746,PGI|ACALD,2pg,0.0,0.0
747,PGI|ACALD,ac,0.0,0.0
748,PGI|ACALD,dhap,0.0,0.0
749,PGI|ACALD,electrons,0.0,0.0
750,PFK|FBP,g6p,0.789,0.0
751,PFK|FBP,f6p,0.789,0.0
752,PFK|FBP,6pgc,0.743,0.0
753,PFK|FBP,r5p,0.809,0.0
754,PFK|FBP,succ,0.0,0.0
755,PFK|FBP,xu5p_D,0.809,0.0
756,PFK|FBP,2pg,0.0,0.0
757,PFK|FBP,ac,0.0,0.0
758,PFK|FBP,dhap,0.0,0.0
759,PFK|FBP,electrons,0.0,0.0
760,PFK|FBA,g6p,0.789,0.0
761,PFK|FBA,f6p,0.789,0.0
762,PFK|FBA,6pgc,0.743,0.0
763,PFK|FBA,r5p,0.809,0.0
764,PFK|FBA,succ,0.0,0.0
765,PFK|FBA,xu5p_D,0.809,0.0
766,PFK|FBA,2pg,0.0,0.0
767,PFK|FBA,ac,0.0,0.0
768,PFK|FBA,dhap,0.0,0.0
769,PFK|FBA,electrons,0.0,0.0
770,PFK|TPI,g6p,0.789,0.0
771,PFK|TPI,f6p,0.789,0.0
772,PFK|TPI,6pgc,0.743,0.0
773,PFK|TPI,r5p,0.809,0.0
774,PFK|TPI,succ,0.0,0.0
775,PFK|TPI,xu5p_D,0.809,0.0
776,PFK|TPI,2pg,0.0,0.0
777,PFK|TPI,ac,0.0,0.0
778,PFK|TPI,dhap,0.699,0.0
779,PFK|TPI,electrons,0.0,0.0
780,"PFK|GAPD,PGK",g6p,0.754,0.0
781,"PFK|GAPD,PGK",f6p,0.754,0.0
782,"PFK|GAPD,PGK",6pgc,0.707,0.0
783,"PFK|GAPD,PGK",r5p,0.762,0.0
784,"PFK|GAPD,PGK",succ,0.0,0.0
785,"PFK|GAPD,PGK",xu5p_D,0.762,0.0
786,"PFK|GAPD,PGK",2pg,0.0,0.0
787,"PFK|GAPD,PGK",ac,0.0,0.0
788,"PFK|GAPD,PGK",dhap,0.771,0.0
789,"PFK|GAPD,PGK",electrons,0.0,0.0
790,PFK|PGM,g6p,0.723,0.0
791,PFK|PGM,f6p,0.723,0.0
792,PFK|PGM,6pgc,0.677,0.0
793,PFK|PGM,r5p,0.725,0.0
794,PFK|PGM,succ,0.481,12.463
795,PFK|PGM,xu5p_D,0.725,0.0
796,PFK|PGM,2pg,0.612,12.463
797,PFK|PGM,ac,0.481,12.463
798,PFK|PGM,dhap,0.735,0.0
799,PFK|PGM,electrons,0.468,45.595
800,PFK|ENO,g6p,0.723,0.0
801,PFK|ENO,f6p,0.723,0.0
802,PFK|ENO,6pgc,0.677,0.0
803,PFK|ENO,r5p,0.725,0.0
804,PFK|ENO,succ,0.481,12.463
805,PFK|ENO,xu5p_D,0.725,0.0
806,PFK|ENO,2pg,0.551,0.0
807,PFK|ENO,ac,0.481,12.463
808,PFK|ENO,dhap,0.735,0.0
809,PFK|ENO,electrons,0.468,45.595
810,PFK|PYK,g6p,0.772,0.0
811,PFK|PYK,f6p,0.772,0.0
812,PFK|PYK,6pgc,0.725,0.0
813,PFK|PYK,r5p,0.784,0.0
814,PFK|PYK,succ,0.553,0.0
815,PFK|PYK,xu5p_D,0.784,0.0
816,PFK|PYK,2pg,0.642,0.0
817,PFK|PYK,ac,0.54,0.0
818,PFK|PYK,dhap,0.825,0.0
819,PFK|PYK,electrons,0.493,45.595
820,PFK|PPS,g6p,0.789,0.0
821,PFK|PPS,f6p,0.789,0.0
822,PFK|PPS,6pgc,0.743,0.0
823,PFK|PPS,r5p,0.809,0.0
824,PFK|PPS,succ,0.553,0.0
825,PFK|PPS,xu5p_D,0.809,0.0
826,PFK|PPS,2pg,0.691,0.0
827,PFK|PPS,ac,0.54,0.0
828,PFK|PPS,dhap,0.854,0.0
829,PFK|PPS,electrons,0.499,45.595
830,PFK|PDH,g6p,0.754,0.0
831,PFK|PDH,f6p,0.754,0.0
832,PFK|PDH,6pgc,0.71,0.0
833,PFK|PDH,r5p,0.773,0.0
834,PFK|PDH,succ,0.494,0.0
835,PFK|PDH,xu5p_D,0.773,0.0
836,PFK|PDH,2pg,0.621,0.0
837,PFK|PDH,ac,0.54,0.0
838,PFK|PDH,dhap,0.807,0.0
839,PFK|PDH,electrons,0.488,45.595
840,PFK|PFL,g6p,0.789,0.0
841,PFK|PFL,f6p,0.789,0.0
842,PFK|PFL,6pgc,0.743,0.0
843,PFK|PFL,r5p,0.809,0.0
844,PFK|PFL,succ,0.553,0.0
845,PFK|PFL,xu5p_D,0.809,0.0
846,PFK|PFL,2pg,0.691,0.0
847,PFK|PFL,ac,0.54,0.0
848,PFK|PFL,dhap,0.854,0.0
849,PFK|PFL,electrons,0.499,45.595
850,"PFK|G6PDH2r,PGL",g6p,0.726,15.728
851,"PFK|G6PDH2r,PGL",f6p,0.726,15.728
852,"PFK|G6PDH2r,PGL",6pgc,0.728,0.0
853,"PFK|G6PDH2r,PGL",r5p,0.754,11.776
854,"PFK|G6PDH2r,PGL",succ,0.553,0.0
855,"PFK|G6PDH2r,PGL",xu5p_D,0.754,11.776
856,"PFK|G6PDH2r,PGL",2pg,0.69,0.0
857,"PFK|G6PDH2r,PGL",ac,0.54,0.0
858,"PFK|G6PDH2r,PGL",dhap,0.852,0.0
859,"PFK|G6PDH2r,PGL",electrons,0.499,45.595
860,PFK|GND,g6p,0.787,0.0
861,PFK|GND,f6p,0.787,0.0
862,PFK|GND,6pgc,0.72,0.0
863,PFK|GND,r5p,0.801,0.0
864,PFK|GND,succ,0.553,0.0
865,PFK|GND,xu5p_D,0.801,0.0
866,PFK|GND,2pg,0.69,0.0
867,PFK|GND,ac,0.54,0.0
868,PFK|GND,dhap,0.852,0.0
869,PFK|GND,electrons,0.499,45.595
870,"PFK|EDD,EDA",g6p,0.769,0.0
871,"PFK|EDD,EDA",f6p,0.769,0.0
872,"PFK|EDD,EDA",6pgc,0.727,0.0
873,"PFK|EDD,EDA",r5p,0.797,0.0
874,"PFK|EDD,EDA",succ,0.553,0.0
875,"PFK|EDD,EDA",xu5p_D,0.797,0.0
876,"PFK|EDD,EDA",2pg,0.691,0.0
877,"PFK|EDD,EDA",ac,0.54,0.0
878,"PFK|EDD,EDA",dhap,0.854,0.0
879,"PFK|EDD,EDA",electrons,0.499,45.595
880,PFK|RPE,g6p,0.789,0.0
881,PFK|RPE,f6p,0.789,0.0
882,PFK|RPE,6pgc,0.726,0.0
883,PFK|RPE,r5p,0.75,12.247
884,PFK|RPE,succ,0.551,0.0
885,PFK|RPE,xu5p_D,0.807,0.0
886,PFK|RPE,2pg,0.69,0.0
887,PFK|RPE,ac,0.537,0.0
888,PFK|RPE,dhap,0.852,0.0
889,PFK|RPE,electrons,0.0,0.0
890,PFK|RPI,g6p,0.778,2.156
891,PFK|RPI,f6p,0.778,2.156
892,PFK|RPI,6pgc,0.705,2.156
893,PFK|RPI,r5p,0.691,0.0
894,PFK|RPI,succ,0.539,2.156
895,PFK|RPI,xu5p_D,0.726,15.923
896,PFK|RPI,2pg,0.675,2.156
897,PFK|RPI,ac,0.529,2.156
898,PFK|RPI,dhap,0.834,2.156
899,PFK|RPI,electrons,0.0,0.0
900,"PFK|TKT1,TKT2",g6p,0.0,0.0
901,"PFK|TKT1,TKT2",f6p,0.0,0.0
902,"PFK|TKT1,TKT2",6pgc,0.0,0.0
903,"PFK|TKT1,TKT2",r5p,0.0,0.0
904,"PFK|TKT1,TKT2",succ,0.0,0.0
905,"PFK|TKT1,TKT2",xu5p_D,0.0,0.0
906,"PFK|TKT1,TKT2",2pg,0.0,0.0
907,"PFK|TKT1,TKT2",ac,0.0,0.0
908,"PFK|TKT1,TKT2",dhap,0.0,0.0
909,"PFK|TKT1,TKT2",electrons,0.0,0.0
910,PFK|TALA,g6p,0.788,0.0
911,PFK|TALA,f6p,0.788,0.0
912,PFK|TALA,6pgc,0.723,0.0
913,PFK|TALA,r5p,0.746,12.862
914,PFK|TALA,succ,0.552,0.0
915,PFK|TALA,xu5p_D,0.746,12.862
916,PFK|TALA,2pg,0.69,0.0
917,PFK|TALA,ac,0.538,0.0
918,PFK|TALA,dhap,0.852,0.0
919,PFK|TALA,electrons,0.0,0.0
920,PFK|PPC,g6p,0.789,0.0
921,PFK|PPC,f6p,0.789,0.0
922,PFK|PPC,6pgc,0.742,0.0
923,PFK|PPC,r5p,0.808,0.0
924,PFK|PPC,succ,0.553,0.0
925,PFK|PPC,xu5p_D,0.808,0.0
926,PFK|PPC,2pg,0.687,0.0
927,PFK|PPC,ac,0.54,0.0
928,PFK|PPC,dhap,0.848,0.0
929,PFK|PPC,electrons,0.469,54.192
930,PFK|PPCK,g6p,0.789,0.0
931,PFK|PPCK,f6p,0.789,0.0
932,PFK|PPCK,6pgc,0.743,0.0
933,PFK|PPCK,r5p,0.809,0.0
934,PFK|PPCK,succ,0.54,0.0
935,PFK|PPCK,xu5p_D,0.809,0.0
936,PFK|PPCK,2pg,0.691,0.0
937,PFK|PPCK,ac,0.527,0.0
938,PFK|PPCK,dhap,0.854,0.0
939,PFK|PPCK,electrons,0.499,45.595
940,PFK|CS,g6p,0.0,0.0
941,PFK|CS,f6p,0.0,0.0
942,PFK|CS,6pgc,0.0,0.0
943,PFK|CS,r5p,0.0,0.0
944,PFK|CS,succ,0.0,0.0
945,PFK|CS,xu5p_D,0.0,0.0
946,PFK|CS,2pg,0.0,0.0
947,PFK|CS,ac,0.0,0.0
948,PFK|CS,dhap,0.0,0.0
949,PFK|CS,electrons,0.0,0.0
950,"PFK|ACONTa,ACONTb",g6p,0.0,0.0
951,"PFK|ACONTa,ACONTb",f6p,0.0,0.0
952,"PFK|ACONTa,ACONTb",6pgc,0.0,0.0
953,"PFK|ACONTa,ACONTb",r5p,0.0,0.0
954,"PFK|ACONTa,ACONTb",succ,0.0,0.0
955,"PFK|ACONTa,ACONTb",xu5p_D,0.0,0.0
956,"PFK|ACONTa,ACONTb",2pg,0.0,0.0
957,"PFK|ACONTa,ACONTb",ac,0.0,0.0
958,"PFK|ACONTa,ACONTb",dhap,0.0,0.0
959,"PFK|ACONTa,ACONTb",electrons,0.0,0.0
960,PFK|ALCD2x,g6p,0.789,0.0
961,PFK|ALCD2x,f6p,0.789,0.0
962,PFK|ALCD2x,6pgc,0.743,0.0
963,PFK|ALCD2x,r5p,0.809,0.0
964,PFK|ALCD2x,succ,0.553,0.0
965,PFK|ALCD2x,xu5p_D,0.809,0.0
966,PFK|ALCD2x,2pg,0.691,0.0
967,PFK|ALCD2x,ac,0.54,0.0
968,PFK|ALCD2x,dhap,0.854,0.0
969,PFK|ALCD2x,electrons,0.499,45.595
970,PFK|ACALD,g6p,0.789,0.0
971,PFK|ACALD,f6p,0.789,0.0
972,PFK|ACALD,6pgc,0.743,0.0
973,PFK|ACALD,r5p,0.809,0.0
974,PFK|ACALD,succ,0.553,0.0
975,PFK|ACALD,xu5p_D,0.809,0.0
976,PFK|ACALD,2pg,0.691,0.0
977,PFK|ACALD,ac,0.54,0.0
978,PFK|ACALD,dhap,0.854,0.0
979,PFK|ACALD,electrons,0.499,45.596
980,FBP|FBA,g6p,0.789,0.0
981,FBP|FBA,f6p,0.789,0.0
982,FBP|FBA,6pgc,0.743,0.0
983,FBP|FBA,r5p,0.809,0.0
984,FBP|FBA,succ,0.0,0.0
985,FBP|FBA,xu5p_D,0.809,0.0
986,FBP|FBA,2pg,0.0,0.0
987,FBP|FBA,ac,0.0,0.0
988,FBP|FBA,dhap,0.0,0.0
989,FBP|FBA,electrons,0.0,0.0
990,FBP|TPI,g6p,0.789,0.0
991,FBP|TPI,f6p,0.789,0.0
992,FBP|TPI,6pgc,0.743,0.0
993,FBP|TPI,r5p,0.809,0.0
994,FBP|TPI,succ,0.0,0.0
995,FBP|TPI,xu5p_D,0.809,0.0
996,FBP|TPI,2pg,0.0,0.0
997,FBP|TPI,ac,0.0,0.0
998,FBP|TPI,dhap,0.0,0.0
999,FBP|TPI,electrons,0.0,0.0
1000,"FBP|GAPD,PGK",g6p,0.754,9.384
1001,"FBP|GAPD,PGK",f6p,0.754,9.384
1002,"FBP|GAPD,PGK",6pgc,0.707,10.13
1003,"FBP|GAPD,PGK",r5p,0.755,11.579
1004,"FBP|GAPD,PGK",succ,0.0,0.0
1005,"FBP|GAPD,PGK",xu5p_D,0.755,11.579
1006,"FBP|GAPD,PGK",2pg,0.0,0.0
1007,"FBP|GAPD,PGK",ac,0.0,0.0
1008,"FBP|GAPD,PGK",dhap,0.0,0.0
1009,"FBP|GAPD,PGK",electrons,0.0,0.0
1010,FBP|PGM,g6p,0.0,0.0
1011,FBP|PGM,f6p,0.0,0.0
1012,FBP|PGM,6pgc,0.0,0.0
1013,FBP|PGM,r5p,0.0,0.0
1014,FBP|PGM,succ,0.0,0.0
1015,FBP|PGM,xu5p_D,0.0,0.0
1016,FBP|PGM,2pg,0.0,0.0
1017,FBP|PGM,ac,0.0,0.0
1018,FBP|PGM,dhap,0.0,0.0
1019,FBP|PGM,electrons,0.0,0.0
1020,FBP|ENO,g6p,0.0,0.0
1021,FBP|ENO,f6p,0.0,0.0
1022,FBP|ENO,6pgc,0.0,0.0
1023,FBP|ENO,r5p,0.0,0.0
1024,FBP|ENO,succ,0.0,0.0
1025,FBP|ENO,xu5p_D,0.0,0.0
1026,FBP|ENO,2pg,0.0,0.0
1027,FBP|ENO,ac,0.0,0.0
1028,FBP|ENO,dhap,0.0,0.0
1029,FBP|ENO,electrons,0.0,0.0
1030,FBP|PYK,g6p,0.772,0.0
1031,FBP|PYK,f6p,0.772,0.0
1032,FBP|PYK,6pgc,0.725,0.0
1033,FBP|PYK,r5p,0.784,0.0
1034,FBP|PYK,succ,0.0,0.0
1035,FBP|PYK,xu5p_D,0.784,0.0
1036,FBP|PYK,2pg,0.0,0.0
1037,FBP|PYK,ac,0.0,0.0
1038,FBP|PYK,dhap,0.0,0.0
1039,FBP|PYK,electrons,0.0,0.0
1040,FBP|PPS,g6p,0.817,0.0
1041,FBP|PPS,f6p,0.817,0.0
1042,FBP|PPS,6pgc,0.764,0.0
1043,FBP|PPS,r5p,0.828,0.0
1044,FBP|PPS,succ,0.0,0.0
1045,FBP|PPS,xu5p_D,0.828,0.0
1046,FBP|PPS,2pg,0.0,0.0
1047,FBP|PPS,ac,0.0,0.0
1048,FBP|PPS,dhap,0.0,0.0
1049,FBP|PPS,electrons,0.0,0.0
1050,FBP|PDH,g6p,0.767,0.0
1051,FBP|PDH,f6p,0.767,0.0
1052,FBP|PDH,6pgc,0.72,0.0
1053,FBP|PDH,r5p,0.779,0.0
1054,FBP|PDH,succ,0.0,0.0
1055,FBP|PDH,xu5p_D,0.779,0.0
1056,FBP|PDH,2pg,0.0,0.0
1057,FBP|PDH,ac,0.0,0.0
1058,FBP|PDH,dhap,0.0,0.0
1059,FBP|PDH,electrons,0.0,0.0
1060,FBP|PFL,g6p,0.817,0.0
1061,FBP|PFL,f6p,0.817,0.0
1062,FBP|PFL,6pgc,0.764,0.0
1063,FBP|PFL,r5p,0.828,0.0
1064,FBP|PFL,succ,0.0,0.0
1065,FBP|PFL,xu5p_D,0.828,0.0
1066,FBP|PFL,2pg,0.0,0.0
1067,FBP|PFL,ac,0.0,0.0
1068,FBP|PFL,dhap,0.0,0.0
1069,FBP|PFL,electrons,0.0,0.0
1070,"FBP|G6PDH2r,PGL",g6p,0.805,0.0
1071,"FBP|G6PDH2r,PGL",f6p,0.805,0.0
1072,"FBP|G6PDH2r,PGL",6pgc,0.761,0.0
1073,"FBP|G6PDH2r,PGL",r5p,0.815,0.0
1074,"FBP|G6PDH2r,PGL",succ,0.0,0.0
1075,"FBP|G6PDH2r,PGL",xu5p_D,0.815,0.0
1076,"FBP|G6PDH2r,PGL",2pg,0.0,0.0
1077,"FBP|G6PDH2r,PGL",ac,0.0,0.0
1078,"FBP|G6PDH2r,PGL",dhap,0.0,0.0
1079,"FBP|G6PDH2r,PGL",electrons,0.0,0.0
1080,FBP|GND,g6p,0.805,0.0
1081,FBP|GND,f6p,0.805,0.0
1082,FBP|GND,6pgc,0.0,0.0
1083,FBP|GND,r5p,0.815,0.0
1084,FBP|GND,succ,0.0,0.0
1085,FBP|GND,xu5p_D,0.815,0.0
1086,FBP|GND,2pg,0.0,0.0
1087,FBP|GND,ac,0.0,0.0
1088,FBP|GND,dhap,0.0,0.0
1089,FBP|GND,electrons,0.0,0.0
1090,"FBP|EDD,EDA",g6p,0.817,0.0
1091,"FBP|EDD,EDA",f6p,0.817,0.0
1092,"FBP|EDD,EDA",6pgc,0.764,0.0
1093,"FBP|EDD,EDA",r5p,0.828,0.0
1094,"FBP|EDD,EDA",succ,0.0,0.0
1095,"FBP|EDD,EDA",xu5p_D,0.828,0.0
1096,"FBP|EDD,EDA",2pg,0.0,0.0
1097,"FBP|EDD,EDA",ac,0.0,0.0
1098,"FBP|EDD,EDA",dhap,0.0,0.0
1099,"FBP|EDD,EDA",electrons,0.0,0.0
1100,FBP|RPE,g6p,0.807,0.0
1101,FBP|RPE,f6p,0.807,0.0
1102,FBP|RPE,6pgc,0.0,0.0
1103,FBP|RPE,r5p,0.0,0.0
1104,FBP|RPE,succ,0.0,0.0
1105,FBP|RPE,xu5p_D,0.827,0.0
1106,FBP|RPE,2pg,0.0,0.0
1107,FBP|RPE,ac,0.0,0.0
1108,FBP|RPE,dhap,0.0,0.0
1109,FBP|RPE,electrons,0.0,0.0
1110,FBP|RPI,g6p,0.793,2.156
1111,FBP|RPI,f6p,0.793,2.156
1112,FBP|RPI,6pgc,0.0,0.0
1113,FBP|RPI,r5p,0.0,0.0
1114,FBP|RPI,succ,0.0,0.0
1115,FBP|RPI,xu5p_D,0.0,0.0
1116,FBP|RPI,2pg,0.0,0.0
1117,FBP|RPI,ac,0.0,0.0
1118,FBP|RPI,dhap,0.0,0.0
1119,FBP|RPI,electrons,0.0,0.0
1120,"FBP|TKT1,TKT2",g6p,0.0,0.0
1121,"FBP|TKT1,TKT2",f6p,0.0,0.0
1122,"FBP|TKT1,TKT2",6pgc,0.0,0.0
1123,"FBP|TKT1,TKT2",r5p,0.0,0.0
1124,"FBP|TKT1,TKT2",succ,0.0,0.0
1125,"FBP|TKT1,TKT2",xu5p_D,0.0,0.0
1126,"FBP|TKT1,TKT2",2pg,0.0,0.0
1127,"FBP|TKT1,TKT2",ac,0.0,0.0
1128,"FBP|TKT1,TKT2",dhap,0.0,0.0
1129,"FBP|TKT1,TKT2",electrons,0.0,0.0
1130,FBP|TALA,g6p,0.806,0.0
1131,FBP|TALA,f6p,0.806,0.0
1132,FBP|TALA,6pgc,0.0,0.0
1133,FBP|TALA,r5p,0.0,0.0
1134,FBP|TALA,succ,0.0,0.0
1135,FBP|TALA,xu5p_D,0.0,0.0
1136,FBP|TALA,2pg,0.0,0.0
1137,FBP|TALA,ac,0.0,0.0
1138,FBP|TALA,dhap,0.0,0.0
1139,FBP|TALA,electrons,0.0,0.0
1140,FBP|PPC,g6p,0.812,0.0
1141,FBP|PPC,f6p,0.812,0.0
1142,FBP|PPC,6pgc,0.757,0.0
1143,FBP|PPC,r5p,0.821,0.0
1144,FBP|PPC,succ,0.0,0.0
1145,FBP|PPC,xu5p_D,0.821,0.0
1146,FBP|PPC,2pg,0.0,0.0
1147,FBP|PPC,ac,0.0,0.0
1148,FBP|PPC,dhap,0.0,0.0
1149,FBP|PPC,electrons,0.0,0.0
1150,FBP|PPCK,g6p,0.817,0.0
1151,FBP|PPCK,f6p,0.817,0.0
1152,FBP|PPCK,6pgc,0.764,0.0
1153,FBP|PPCK,r5p,0.828,0.0
1154,FBP|PPCK,succ,0.0,0.0
1155,FBP|PPCK,xu5p_D,0.828,0.0
1156,FBP|PPCK,2pg,0.0,0.0
1157,FBP|PPCK,ac,0.0,0.0
1158,FBP|PPCK,dhap,0.0,0.0
1159,FBP|PPCK,electrons,0.0,0.0
1160,FBP|CS,g6p,0.0,0.0
1161,FBP|CS,f6p,0.0,0.0
1162,FBP|CS,6pgc,0.0,0.0
1163,FBP|CS,r5p,0.0,0.0
1164,FBP|CS,succ,0.0,0.0
1165,FBP|CS,xu5p_D,0.0,0.0
1166,FBP|CS,2pg,0.0,0.0
1167,FBP|CS,ac,0.0,0.0
1168,FBP|CS,dhap,0.0,0.0
1169,FBP|CS,electrons,0.0,0.0
1170,"FBP|ACONTa,ACONTb",g6p,0.0,0.0
1171,"FBP|ACONTa,ACONTb",f6p,0.0,0.0
1172,"FBP|ACONTa,ACONTb",6pgc,0.0,0.0
1173,"FBP|ACONTa,ACONTb",r5p,0.0,0.0
1174,"FBP|ACONTa,ACONTb",succ,0.0,0.0
1175,"FBP|ACONTa,ACONTb",xu5p_D,0.0,0.0
