,knockouts,carbon source,yield,slope
137,"|G6PDH2r,PGL",ac,0.54,0.0
138,"|G6PDH2r,PGL",dhap,0.852,0.0
139,"|G6PDH2r,PGL",electrons,0.499,45.595
140,|GND,g6p,0.805,0.0
141,|GND,f6p,0.805,0.0
142,|GND,6pgc,0.72,0.0
143,|GND,r5p,0.815,0.0
144,|GND,succ,0.553,0.0
145,|GND,xu5p_D,0.815,0.0
146,|GND,2pg,0.69,0.0
147,|GND,ac,0.54,0.0
148,|GND,dhap,0.852,0.0
149,|GND,electrons,0.499,45.595
150,"|EDD,EDA",g6p,0.817,0.0
151,"|EDD,EDA",f6p,0.817,0.0
152,"|EDD,EDA",6pgc,0.764,0.0
153,"|EDD,EDA",r5p,0.828,0.0
154,"|EDD,EDA",succ,0.553,0.0
155,"|EDD,EDA",xu5p_D,0.828,0.0
156,"|EDD,EDA",2pg,0.691,0.0
157,"|EDD,EDA",ac,0.54,0.0
158,"|EDD,EDA",dhap,0.854,0.0
159,"|EDD,EDA",electrons,0.499,45.595
160,|RPE,g6p,0.807,0.0
161,|RPE,f6p,0.807,0.0
162,|RPE,6pgc,0.726,0.0
163,|RPE,r5p,0.75,12.247
164,|RPE,succ,0.551,0.0
165,|RPE,xu5p_D,0.827,0.0
166,|RPE,2pg,0.69,0.0
167,|RPE,ac,0.537,0.0
168,|RPE,dhap,0.852,0.0
169,|RPE,electrons,0.0,0.0
170,|RPI,g6p,0.793,2.156
171,|RPI,f6p,0.793,2.156
172,|RPI,6pgc,0.705,2.156
173,|RPI,r5p,0.691,0.0
174,|RPI,succ,0.539,2.156
175,|RPI,xu5p_D,0.726,15.923
176,|RPI,2pg,0.675,2.156
177,|RPI,ac,0.529,2.156
178,|RPI,dhap,0.834,2.156
179,|RPI,electrons,0.0,0.0
180,"|TKT1,TKT2",g6p,0.0,0.0
181,"|TKT1,TKT2",f6p,0.0,0.0
182,"|TKT1,TKT2",6pgc,0.0,0.0
183,"|TKT1,TKT2",r5p,0.0,0.0
184,"|TKT1,TKT2",succ,0.0,0.0
185,"|TKT1,TKT2",xu5p_D,0.0,0.0
186,"|TKT1,TKT2",2pg,0.0,0.0
187,"|TKT1,TKT2",ac,0.0,0.0
188,"|TKT1,TKT2",dhap,0.0,0.0
189,"|TKT1,TKT2",electrons,0.0,0.0
190,|TALA,g6p,0.806,0.0
191,|TALA,f6p,0.806,0.0
192,|TALA,6pgc,0.723,0.0
193,|TALA,r5p,0.746,12.862
194,|TALA,succ,0.552,0.0
195,|TALA,xu5p_D,0.746,12.862
196,|TALA,2pg,0.69,0.0
197,|TALA,ac,0.538,0.0
198,|TALA,dhap,0.852,0.0
199,|TALA,electrons,0.0,0.0
200,|PPC,g6p,0.812,0.0
201,|PPC,f6p,0.812,0.0
202,|PPC,6pgc,0.757,0.0
203,|PPC,r5p,0.821,0.0
204,|PPC,succ,0.553,0.0
205,|PPC,xu5p_D,0.821,0.0
206,|PPC,2pg,0.687,0.0
207,|PPC,ac,0.54,0.0
208,|PPC,dhap,0.848,0.0
209,|PPC,electrons,0.469,54.192
210,|PPCK,g6p,0.817,0.0
211,|PPCK,f6p,0.817,0.0
212,|PPCK,6pgc,0.764,0.0
213,|PPCK,r5p,0.828,0.0
214,|PPCK,succ,0.54,0.0
215,|PPCK,xu5p_D,0.828,0.0
216,|PPCK,2pg,0.691,0.0
217,|PPCK,ac,0.527,0.0
218,|PPCK,dhap,0.854,0.0
219,|PPCK,electrons,0.499,45.595
220,|CS,g6p,0.0,0.0
221,|CS,f6p,0.0,0.0
222,|CS,6pgc,0.0,0.0
223,|CS,r5p,0.0,0.0
224,|CS,succ,0.0,0.0
225,|CS,xu5p_D,0.0,0.0
226,|CS,2pg,0.0,0.0
227,|CS,ac,0.0,0.0
228,|CS,dhap,0.0,0.0
229,|CS,electrons,0.0,0.0
230,"|ACONTa,ACONTb",g6p,0.0,0.0
231,"|ACONTa,ACONTb",f6p,0.0,0.0
232,"|ACONTa,ACONTb",6pgc,0.0,0.0
233,"|ACONTa,ACONTb",r5p,0.0,0.0
234,"|ACONTa,ACONTb",succ,0.0,0.0
235,"|ACONTa,ACONTb",xu5p_D,0.0,0.0
236,"|ACONTa,ACONTb",2pg,0.0,0.0
237,"|ACONTa,ACONTb",ac,0.0,0.0
238,"|ACONTa,ACONTb",dhap,0.0,0.0
239,"|ACONTa,ACONTb",electrons,0.0,0.0
240,|ALCD2x,g6p,0.817,0.0
241,|ALCD2x,f6p,0.817,0.0
242,|ALCD2x,6pgc,0.764,0.0
243,|ALCD2x,r5p,0.828,0.0
244,|ALCD2x,succ,0.553,0.0
245,|ALCD2x,xu5p_D,0.828,0.0
246,|ALCD2x,2pg,0.691,0.0
247,|ALCD2x,ac,0.54,0.0
248,|ALCD2x,dhap,0.854,0.0
249,|ALCD2x,electrons,0.499,45.595
250,|ACALD,g6p,0.817,0.0
251,|ACALD,f6p,0.817,0.0
252,|ACALD,6pgc,0.764,0.0
253,|ACALD,r5p,0.828,0.0
254,|ACALD,succ,0.553,0.0
255,|ACALD,xu5p_D,0.828,0.0
256,|ACALD,2pg,0.691,0.0
257,|ACALD,ac,0.54,0.0
258,|ACALD,dhap,0.854,0.0
259,|ACALD,electrons,0.499,45.596
260,GLCpts|PGI,g6p,0.812,0.0
261,GLCpts|PGI,f6p,0.0,0.0
262,GLCpts|PGI,6pgc,0.0,0.0
263,GLCpts|PGI,r5p,0.0,0.0
264,GLCpts|PGI,succ,0.0,0.0
265,GLCpts|PGI,xu5p_D,0.0,0.0
266,GLCpts|PGI,2pg,0.0,0.0
267,GLCpts|PGI,ac,0.0,0.0
268,GLCpts|PGI,dhap,0.0,0.0
269,GLCpts|PGI,electrons,0.0,0.0
270,GLCpts|PFK,g6p,0.789,0.0
271,GLCpts|PFK,f6p,0.789,0.0
272,GLCpts|PFK,6pgc,0.743,0.0
273,GLCpts|PFK,r5p,0.809,0.0
274,GLCpts|PFK,succ,0.553,0.0
275,GLCpts|PFK,xu5p_D,0.809,0.0
276,GLCpts|PFK,2pg,0.691,0.0
277,GLCpts|PFK,ac,0.54,0.0
278,GLCpts|PFK,dhap,0.854,0.0
279,GLCpts|PFK,electrons,0.499,45.595
280,GLCpts|FBP,g6p,0.817,0.0
281,GLCpts|FBP,f6p,0.817,0.0
282,GLCpts|FBP,6pgc,0.764,0.0
283,GLCpts|FBP,r5p,0.828,0.0
284,GLCpts|FBP,succ,0.0,0.0
285,GLCpts|FBP,xu5p_D,0.828,0.0
286,GLCpts|FBP,2pg,0.0,0.0
287,GLCpts|FBP,ac,0.0,0.0
288,GLCpts|FBP,dhap,0.0,0.0
289,GLCpts|FBP,electrons,0.0,0.0
290,GLCpts|FBA,g6p,0.789,0.0
291,GLCpts|FBA,f6p,0.789,0.0
292,GLCpts|FBA,6pgc,0.743,0.0
293,GLCpts|FBA,r5p,0.809,0.0
294,GLCpts|FBA,succ,0.0,0.0
295,GLCpts|FBA,xu5p_D,0.809,0.0
296,GLCpts|FBA,2pg,0.0,0.0
297,GLCpts|FBA,ac,0.0,0.0
298,GLCpts|FBA,dhap,0.0,0.0
299,GLCpts|FBA,electrons,0.0,0.0
300,GLCpts|TPI,g6p,0.789,0.0
301,GLCpts|TPI,f6p,0.789,0.0
302,GLCpts|TPI,6pgc,0.743,0.0
303,GLCpts|TPI,r5p,0.809,0.0
304,GLCpts|TPI,succ,0.0,0.0
305,GLCpts|TPI,xu5p_D,0.809,0.0
306,GLCpts|TPI,2pg,0.0,0.0
307,GLCpts|TPI,ac,0.0,0.0
308,GLCpts|TPI,dhap,0.699,0.0
309,GLCpts|TPI,electrons,0.0,0.0
310,"GLCpts|GAPD,PGK",g6p,0.754,0.0
311,"GLCpts|GAPD,PGK",f6p,0.754,0.0
312,"GLCpts|GAPD,PGK",6pgc,0.707,0.0
313,"GLCpts|GAPD,PGK",r5p,0.762,0.0
314,"GLCpts|GAPD,PGK",succ,0.0,0.0
315,"GLCpts|GAPD,PGK",xu5p_D,0.762,0.0
316,"GLCpts|GAPD,PGK",2pg,0.0,0.0
317,"GLCpts|GAPD,PGK",ac,0.0,0.0
318,"GLCpts|GAPD,PGK",dhap,0.771,0.0
319,"GLCpts|GAPD,PGK",electrons,0.0,0.0
320,GLCpts|PGM,g6p,0.723,0.0
321,GLCpts|PGM,f6p,0.723,0.0
322,GLCpts|PGM,6pgc,0.677,0.0
323,GLCpts|PGM,r5p,0.725,0.0
324,GLCpts|PGM,succ,0.481,12.463
325,GLCpts|PGM,xu5p_D,0.725,0.0
326,GLCpts|PGM,2pg,0.612,12.463
327,GLCpts|PGM,ac,0.481,12.463
328,GLCpts|PGM,dhap,0.735,0.0
329,GLCpts|PGM,electrons,0.468,45.595
330,GLCpts|ENO,g6p,0.723,0.0
331,GLCpts|ENO,f6p,0.723,0.0
332,GLCpts|ENO,6pgc,0.677,0.0
333,GLCpts|ENO,r5p,0.725,0.0
334,GLCpts|ENO,succ,0.481,12.463
335,GLCpts|ENO,xu5p_D,0.725,0.0
336,GLCpts|ENO,2pg,0.551,0.0
337,GLCpts|ENO,ac,0.481,12.463
338,GLCpts|ENO,dhap,0.735,0.0
339,GLCpts|ENO,electrons,0.468,45.595
340,GLCpts|PYK,g6p,0.772,0.0
341,GLCpts|PYK,f6p,0.772,0.0
342,GLCpts|PYK,6pgc,0.725,0.0
343,GLCpts|PYK,r5p,0.784,0.0
344,GLCpts|PYK,succ,0.553,0.0
345,GLCpts|PYK,xu5p_D,0.784,0.0
346,GLCpts|PYK,2pg,0.642,0.0
347,GLCpts|PYK,ac,0.54,0.0
348,GLCpts|PYK,dhap,0.825,0.0
349,GLCpts|PYK,electrons,0.493,45.595
350,GLCpts|PPS,g6p,0.817,0.0
351,GLCpts|PPS,f6p,0.817,0.0
352,GLCpts|PPS,6pgc,0.764,0.0
353,GLCpts|PPS,r5p,0.828,0.0
354,GLCpts|PPS,succ,0.553,0.0
355,GLCpts|PPS,xu5p_D,0.828,0.0
356,GLCpts|PPS,2pg,0.691,0.0
357,GLCpts|PPS,ac,0.54,0.0
358,GLCpts|PPS,dhap,0.854,0.0
359,GLCpts|PPS,electrons,0.499,45.595
360,GLCpts|PDH,g6p,0.767,0.0
361,GLCpts|PDH,f6p,0.767,0.0
362,GLCpts|PDH,6pgc,0.72,0.0
363,GLCpts|PDH,r5p,0.779,0.0
364,GLCpts|PDH,succ,0.494,0.0
365,GLCpts|PDH,xu5p_D,0.779,0.0
366,GLCpts|PDH,2pg,0.621,0.0
